,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,gender
32,2,18.0,2,0,5866.0,2,2,2.0,0,0,2.0,2,30.0,0,1,2.0,2,1.0,1,1,1,0
33,0,12.0,4,9,1264.0,0,4,4.0,0,0,4.0,0,57.0,0,0,1.0,1,1.0,0,1,1,0
34,3,12.0,2,2,1474.0,1,1,4.0,4,0,1.0,1,33.0,2,1,1.0,3,1.0,1,1,1,1
35,2,45.0,4,3,4746.0,1,1,4.0,0,0,2.0,1,25.0,0,1,2.0,1,1.0,0,1,0,0
36,0,48.0,4,6,6110.0,1,2,1.0,0,0,3.0,0,31.0,2,2,1.0,2,1.0,1,1,1,0
37,3,18.0,2,3,2100.0,1,2,4.0,0,1,2.0,3,37.0,1,1,1.0,2,1.0,0,1,0,0
38,3,10.0,2,4,1225.0,1,2,2.0,0,0,2.0,2,37.0,0,1,1.0,2,1.0,1,1,1,0
39,2,9.0,2,3,458.0,1,2,4.0,0,0,3.0,3,24.0,0,1,1.0,2,1.0,0,1,1,0
40,0,30.0,2,3,2333.0,3,4,4.0,0,0,2.0,2,30.0,2,1,1.0,3,1.0,0,1,1,0
41,2,12.0,2,3,1158.0,3,2,3.0,2,0,1.0,2,26.0,0,1,1.0,2,1.0,1,1,1,0
42,2,18.0,3,5,6204.0,1,2,2.0,0,0,4.0,3,44.0,0,1,1.0,1,2.0,1,1,1,0
43,1,30.0,4,1,6187.0,2,3,1.0,1,0,4.0,2,24.0,0,0,2.0,2,1.0,0,1,1,0
44,1,48.0,4,1,6143.0,1,4,4.0,4,0,4.0,0,58.0,1,2,2.0,1,1.0,0,1,0,1
45,0,11.0,4,0,1393.0,1,1,4.0,4,0,4.0,2,35.0,0,1,2.0,3,1.0,0,1,1,1
46,0,36.0,2,3,2299.0,3,4,4.0,0,0,4.0,2,39.0,0,1,1.0,2,1.0,0,1,1,0
47,1,6.0,2,1,1352.0,3,0,1.0,4,0,2.0,1,23.0,0,0,1.0,0,1.0,1,1,1,1
48,0,11.0,4,0,7228.0,1,2,1.0,0,0,4.0,1,39.0,0,1,2.0,1,1.0,0,1,1,0
49,0,12.0,2,3,2073.0,2,2,4.0,4,1,2.0,3,28.0,0,1,1.0,2,1.0,0,1,1,1
50,2,24.0,3,2,2333.0,0,1,4.0,0,0,2.0,1,29.0,2,1,1.0,1,1.0,0,1,1,0
51,2,27.0,3,1,5965.0,1,4,1.0,0,0,2.0,2,30.0,0,1,2.0,3,1.0,1,1,1,0
52,0,12.0,2,3,1262.0,1,2,3.0,0,0,2.0,2,25.0,0,1,1.0,2,1.0,0,1,1,0
53,0,18.0,2,1,3378.0,0,2,2.0,0,0,1.0,1,31.0,0,1,1.0,2,1.0,1,1,1,0
54,2,36.0,3,0,2225.0,1,4,4.0,0,0,4.0,0,57.0,2,2,2.0,2,1.0,1,1,0,0
55,0,6.0,1,0,783.0,0,2,1.0,0,2,2.0,3,26.0,1,1,1.0,1,2.0,0,1,1,0
56,2,12.0,2,3,6468.0,0,0,2.0,0,0,1.0,0,52.0,0,1,1.0,3,1.0,1,1,0,0
57,0,36.0,4,3,9566.0,1,2,2.0,4,0,2.0,2,31.0,1,1,2.0,2,1.0,0,1,1,1
58,3,18.0,2,0,1961.0,1,4,3.0,4,0,2.0,2,23.0,0,1,1.0,3,1.0,0,1,1,1
59,1,36.0,4,2,6229.0,1,1,4.0,4,1,4.0,0,23.0,0,0,2.0,1,1.0,1,1,0,1
60,2,9.0,2,9,1391.0,1,2,2.0,1,0,1.0,3,27.0,2,1,1.0,2,1.0,1,1,1,0
61,2,15.0,4,3,1537.0,0,4,4.0,0,2,4.0,3,50.0,0,1,2.0,2,1.0,1,1,1,0
62,2,36.0,0,9,1953.0,1,4,4.0,0,0,4.0,0,61.0,0,2,1.0,3,1.0,1,1,0,0
63,2,48.0,0,9,14421.0,1,2,2.0,0,0,2.0,2,25.0,0,1,1.0,2,1.0,1,1,0,0
64,0,24.0,2,3,3181.0,1,1,4.0,4,0,4.0,1,26.0,0,1,1.0,2,1.0,1,1,1,1
65,0,27.0,2,5,5190.0,0,4,4.0,0,0,4.0,1,48.0,0,1,4.0,2,2.0,1,1,1,0
66,0,12.0,2,3,2171.0,1,1,2.0,4,0,2.0,2,29.0,2,1,1.0,2,1.0,0,1,1,1
67,2,12.0,2,0,1007.0,4,2,4.0,1,0,1.0,3,22.0,0,1,1.0,2,1.0,0,1,1,0
68,0,36.0,2,6,1819.0,1,2,4.0,0,0,4.0,0,37.0,1,2,1.0,2,1.0,1,1,0,0
69,0,36.0,2,3,2394.0,0,2,4.0,4,0,4.0,2,25.0,0,1,1.0,2,1.0,0,1,1,1
70,0,36.0,2,1,8133.0,1,2,1.0,4,0,2.0,1,30.0,2,1,1.0,2,1.0,0,1,1,1
71,0,7.0,4,3,730.0,0,4,4.0,0,0,2.0,1,46.0,0,0,2.0,1,1.0,1,1,1,0
72,1,8.0,4,10,1164.0,1,4,3.0,0,0,4.0,0,51.0,2,2,2.0,3,2.0,1,1,1,0
73,2,42.0,4,9,5954.0,1,3,2.0,4,0,1.0,3,41.0,2,1,2.0,1,1.0,0,1,1,1
74,1,36.0,2,6,1977.0,0,4,4.0,0,0,4.0,0,40.0,0,1,1.0,3,1.0,1,1,0,0
75,1,12.0,4,1,1526.0,1,4,4.0,0,0,4.0,0,66.0,0,2,2.0,3,1.0,0,1,1,0
76,1,42.0,2,3,3965.0,1,1,4.0,0,0,3.0,2,34.0,0,1,1.0,2,1.0,0,1,0,0
77,2,11.0,3,3,4771.0,1,3,2.0,0,0,4.0,1,51.0,0,1,1.0,2,1.0,0,1,1,0
78,0,54.0,0,1,9436.0,0,2,2.0,0,0,2.0,1,39.0,0,1,1.0,1,2.0,0,1,1,0
79,2,30.0,2,2,3832.0,1,1,2.0,1,0,1.0,1,22.0,0,1,1.0,2,1.0,0,1,1,0
80,0,24.0,2,3,5943.0,0,1,1.0,4,0,1.0,2,44.0,0,1,2.0,2,1.0,1,1,0,1
81,0,15.0,2,3,1213.0,3,4,4.0,0,0,3.0,1,47.0,1,1,1.0,2,1.0,1,1,1,0
82,0,18.0,2,9,1568.0,2,2,3.0,4,0,4.0,1,24.0,0,0,1.0,1,1.0,0,1,1,1
83,1,24.0,2,10,1755.0,1,4,4.0,4,2,4.0,3,58.0,0,1,1.0,1,1.0,1,1,1,1
84,1,10.0,2,3,2315.0,1,4,3.0,0,0,4.0,3,52.0,0,1,1.0,1,1.0,0,1,1,0
85,0,12.0,4,9,1412.0,1,2,4.0,4,2,2.0,3,29.0,0,1,2.0,3,1.0,1,1,1,1
86,2,18.0,4,2,1295.0,1,1,4.0,4,0,1.0,1,27.0,0,1,2.0,2,1.0,0,1,1,1
87,2,36.0,2,6,12612.0,2,2,1.0,0,0,4.0,0,47.0,0,2,1.0,2,2.0,1,1,0,0
88,1,18.0,2,0,2249.0,2,3,4.0,0,0,3.0,2,30.0,0,1,1.0,3,2.0,1,1,1,0
89,1,12.0,0,5,1108.0,1,3,4.0,0,0,3.0,3,28.0,0,1,2.0,2,1.0,0,1,0,0
90,0,12.0,4,3,618.0,1,4,4.0,0,0,4.0,3,56.0,0,1,1.0,2,1.0,0,1,1,0
91,1,12.0,4,1,1409.0,1,4,4.0,0,0,3.0,3,54.0,0,1,1.0,2,1.0,0,1,1,0
92,0,12.0,4,3,797.0,0,4,4.0,4,0,3.0,1,33.0,2,1,1.0,1,2.0,0,1,0,1
93,3,24.0,4,2,3617.0,0,4,4.0,0,1,4.0,0,20.0,0,0,2.0,2,1.0,0,1,1,0
94,2,12.0,2,0,1318.0,4,4,4.0,0,0,4.0,3,54.0,0,1,1.0,2,1.0,1,1,1,0
95,2,54.0,0,9,15945.0,1,1,3.0,0,0,4.0,0,58.0,0,0,1.0,2,1.0,1,1,0,0
96,0,12.0,4,6,2012.0,0,3,4.0,4,0,2.0,2,61.0,0,1,1.0,2,1.0,0,1,1,1
97,2,18.0,2,9,2622.0,2,2,4.0,0,0,4.0,2,34.0,0,1,1.0,2,1.0,0,1,1,0
98,2,36.0,4,3,2337.0,1,4,4.0,0,0,4.0,3,36.0,0,1,1.0,2,1.0,0,1,1,0
99,2,20.0,3,1,7057.0,0,3,3.0,0,0,4.0,1,36.0,2,0,2.0,3,2.0,1,1,1,0
100,0,24.0,2,0,1469.0,2,4,4.0,1,0,4.0,3,41.0,0,0,1.0,1,1.0,0,1,1,0
101,2,36.0,2,3,2323.0,1,3,4.0,0,0,4.0,2,24.0,0,0,1.0,2,1.0,0,1,1,0
102,0,6.0,3,3,932.0,1,2,3.0,4,0,2.0,3,24.0,0,1,1.0,2,1.0,0,1,1,1
103,2,9.0,4,2,1919.0,1,3,4.0,0,0,3.0,2,35.0,0,0,1.0,2,1.0,1,1,1,0
104,0,12.0,2,1,2445.0,0,1,2.0,1,0,4.0,2,26.0,0,0,1.0,2,1.0,1,1,1,0
105,2,24.0,4,10,11938.0,1,2,2.0,0,1,3.0,2,39.0,0,1,2.0,3,2.0,1,1,0,0
106,0,18.0,1,0,6458.0,1,4,2.0,0,0,4.0,0,39.0,2,1,2.0,3,2.0,1,1,0,0
107,2,12.0,2,0,6078.0,1,3,2.0,0,0,2.0,2,32.0,0,1,1.0,2,1.0,0,1,1,0
108,1,24.0,2,2,7721.0,0,1,1.0,4,0,2.0,1,30.0,0,1,1.0,2,1.0,1,0,1,1
109,2,14.0,2,9,1410.0,3,4,1.0,1,0,2.0,3,35.0,0,1,1.0,2,1.0,1,1,1,0
110,2,6.0,3,9,1449.0,2,4,1.0,2,0,2.0,2,31.0,2,1,2.0,2,2.0,0,1,1,0
111,3,15.0,2,6,392.0,1,1,4.0,4,0,4.0,1,23.0,0,0,1.0,2,1.0,1,1,1,1
112,2,18.0,2,0,6260.0,1,3,3.0,0,0,3.0,3,28.0,0,0,1.0,1,1.0,0,1,1,0
113,0,36.0,4,0,7855.0,1,2,4.0,4,0,2.0,3,25.0,1,1,2.0,2,1.0,1,1,0,1
114,1,12.0,2,3,1680.0,3,4,3.0,1,0,1.0,3,35.0,0,1,1.0,2,1.0,0,1,1,0
115,0,48.0,4,3,3578.0,0,4,4.0,0,0,1.0,3,47.0,0,1,1.0,2,1.0,1,1,1,0
116,1,42.0,2,3,7174.0,0,3,4.0,4,0,3.0,2,30.0,0,1,1.0,3,1.0,1,1,0,1
117,1,10.0,4,2,2132.0,0,1,2.0,4,1,3.0,3,27.0,0,0,2.0,2,1.0,0,0,1,1
118,1,33.0,4,2,4281.0,3,2,1.0,4,0,4.0,2,23.0,0,1,2.0,2,1.0,0,1,0,1
119,2,12.0,4,0,2366.0,3,3,3.0,2,0,3.0,2,36.0,0,1,1.0,3,1.0,1,1,1,0
120,1,21.0,2,3,1835.0,1,2,3.0,4,0,2.0,3,25.0,0,1,2.0,2,1.0,1,1,0,1
121,0,24.0,4,1,3868.0,1,4,4.0,4,0,2.0,2,41.0,0,0,2.0,3,1.0,1,1,1,1
122,0,12.0,2,2,1768.0,1,2,3.0,0,0,2.0,3,24.0,0,0,1.0,1,1.0,0,1,1,0
123,3,10.0,4,0,781.0,1,4,4.0,0,0,4.0,0,63.0,0,2,2.0,2,1.0,1,1,1,0
124,2,18.0,2,2,1924.0,0,1,4.0,4,0,3.0,3,27.0,0,0,1.0,2,1.0,0,1,0,1
125,1,12.0,4,0,2121.0,1,2,4.0,0,0,2.0,1,30.0,0,1,2.0,2,1.0,0,1,1,0
126,1,12.0,2,3,701.0,1,2,4.0,1,0,2.0,3,40.0,0,1,1.0,1,1.0,0,1,1,0
127,2,12.0,2,5,639.0,1,2,4.0,0,0,2.0,2,30.0,0,1,1.0,2,1.0,0,1,0,0
128,2,12.0,4,1,1860.0,1,0,4.0,0,0,2.0,2,34.0,0,1,2.0,3,1.0,1,1,1,0
129,1,12.0,4,0,3499.0,1,2,3.0,4,1,2.0,3,29.0,0,1,2.0,2,1.0,0,1,0,1
130,2,48.0,2,0,8487.0,0,3,1.0,4,0,2.0,2,24.0,0,1,1.0,2,1.0,0,1,1,1
131,1,36.0,3,6,6887.0,1,2,4.0,0,0,3.0,1,29.0,1,1,1.0,2,1.0,1,1,0,0
132,0,15.0,2,2,2708.0,1,1,2.0,0,0,3.0,1,27.0,2,1,2.0,1,1.0,0,1,1,0
133,0,18.0,2,2,1984.0,1,2,4.0,0,0,4.0,0,47.0,2,2,2.0,2,1.0,0,1,1,0
134,0,60.0,2,3,10144.0,2,3,2.0,4,0,4.0,3,21.0,0,1,1.0,2,1.0,1,1,1,1
135,0,12.0,4,3,1240.0,0,4,4.0,4,0,2.0,3,38.0,0,1,2.0,2,1.0,1,1,1,1
136,0,27.0,3,1,8613.0,4,2,2.0,0,0,2.0,2,27.0,0,1,2.0,2,1.0,0,1,1,0
137,2,12.0,2,3,766.0,3,2,4.0,0,0,3.0,3,66.0,0,1,1.0,1,1.0,0,1,0,0
138,2,15.0,4,3,2728.0,0,3,4.0,0,2,2.0,3,35.0,2,1,3.0,2,1.0,1,1,1,0
139,3,12.0,2,3,1881.0,1,2,2.0,4,0,2.0,2,44.0,0,0,1.0,1,1.0,1,1,1,1
140,3,6.0,2,0,709.0,4,1,2.0,1,0,2.0,3,27.0,0,1,1.0,0,1.0,0,0,1,0
141,2,36.0,2,3,4795.0,1,1,4.0,4,0,1.0,0,30.0,0,1,1.0,3,1.0,1,1,1,1
142,1,27.0,2,3,3416.0,1,2,3.0,0,0,2.0,2,27.0,0,1,1.0,3,1.0,0,1,1,0
143,1,18.0,2,2,2462.0,1,2,2.0,0,0,2.0,2,22.0,0,1,1.0,2,1.0,0,1,0,0
144,0,21.0,4,2,2288.0,1,1,4.0,4,0,4.0,1,23.0,0,1,1.0,2,1.0,1,1,1,1
145,2,48.0,1,9,3566.0,2,3,4.0,0,0,2.0,2,30.0,0,1,1.0,2,1.0,0,1,1,0
146,1,6.0,4,0,860.0,1,4,1.0,4,0,4.0,0,39.0,0,1,2.0,2,1.0,1,1,1,1
147,0,12.0,4,0,682.0,2,3,4.0,4,0,3.0,2,51.0,0,1,2.0,2,1.0,1,1,1,1
148,1,36.0,4,2,5371.0,1,2,3.0,0,2,2.0,1,28.0,0,1,2.0,2,1.0,0,1,1,0
149,0,18.0,4,3,1582.0,4,4,4.0,0,0,4.0,2,46.0,0,1,2.0,2,1.0,0,1,1,0
150,0,6.0,2,3,1346.0,2,4,2.0,0,0,4.0,0,42.0,2,2,1.0,2,2.0,1,1,1,0
151,0,10.0,2,3,1924.0,1,2,1.0,0,0,4.0,1,38.0,0,1,1.0,2,1.0,1,0,1,0
152,3,36.0,2,3,5848.0,1,2,4.0,0,0,1.0,2,24.0,0,1,1.0,2,1.0,0,1,1,0
153,2,24.0,4,1,7758.0,4,4,2.0,4,0,4.0,0,29.0,0,0,1.0,2,1.0,0,1,1,1
154,2,24.0,3,9,6967.0,2,3,4.0,0,0,4.0,2,36.0,0,0,1.0,3,1.0,1,1,1,0
155,1,12.0,2,2,1282.0,1,2,2.0,4,0,4.0,2,20.0,0,0,1.0,2,1.0,0,1,0,1
156,1,9.0,4,5,1288.0,2,4,3.0,0,2,4.0,3,48.0,0,1,2.0,2,2.0,0,0,1,0
157,1,12.0,1,8,339.0,1,4,4.0,1,0,1.0,2,45.0,2,1,1.0,1,1.0,0,1,1,0
158,2,24.0,2,0,3512.0,2,3,2.0,0,0,3.0,2,38.0,2,1,2.0,2,1.0,1,1,1,0
159,0,6.0,4,3,1898.0,0,2,1.0,0,0,2.0,3,34.0,0,1,2.0,1,2.0,0,1,1,0
160,0,24.0,4,3,2872.0,2,4,3.0,0,0,4.0,3,36.0,0,1,1.0,2,2.0,1,1,1,0
161,0,18.0,4,0,1055.0,1,1,4.0,4,0,1.0,1,30.0,0,1,2.0,2,1.0,0,1,1,1
162,0,15.0,2,4,1262.0,3,3,4.0,0,0,3.0,1,36.0,0,1,2.0,2,1.0,1,1,1,0
163,2,10.0,2,0,7308.0,1,0,2.0,0,0,4.0,0,70.0,2,2,1.0,3,1.0,1,1,1,0
164,0,36.0,2,0,909.0,3,4,4.0,0,0,4.0,1,36.0,0,1,1.0,2,1.0,0,1,1,0
165,0,6.0,2,2,2978.0,3,2,1.0,0,0,2.0,2,32.0,0,1,1.0,2,1.0,1,1,1,0
166,1,18.0,2,2,1131.0,1,0,4.0,4,0,2.0,2,33.0,0,1,1.0,2,1.0,0,1,0,1
167,2,11.0,2,2,1577.0,4,1,4.0,4,0,1.0,3,20.0,0,1,1.0,2,1.0,0,1,1,1
168,0,24.0,2,2,3972.0,1,3,2.0,4,0,4.0,1,25.0,0,0,1.0,2,1.0,1,1,1,1
169,2,24.0,4,9,1935.0,1,4,4.0,2,0,4.0,3,31.0,0,1,2.0,2,1.0,1,1,0,0
170,1,15.0,0,0,950.0,1,4,4.0,0,0,3.0,2,33.0,0,0,2.0,2,2.0,0,1,0,0
171,0,12.0,2,2,763.0,1,2,4.0,4,0,1.0,3,26.0,0,1,1.0,2,1.0,1,1,1,1
172,2,24.0,3,2,2064.0,1,0,3.0,4,0,2.0,1,34.0,0,1,1.0,3,1.0,1,1,0,1
173,2,8.0,2,3,1414.0,1,2,4.0,0,2,2.0,3,33.0,0,1,1.0,2,1.0,0,0,1,0
174,1,21.0,3,6,3414.0,1,1,2.0,0,0,1.0,1,26.0,0,1,2.0,2,1.0,0,1,0,0
175,0,30.0,1,1,7485.0,0,0,4.0,4,0,1.0,3,53.0,2,1,1.0,3,1.0,1,1,0,1
176,1,12.0,2,2,2577.0,1,2,2.0,2,0,1.0,2,42.0,0,1,1.0,2,1.0,0,1,1,0
177,1,6.0,4,3,338.0,3,4,4.0,0,0,4.0,2,52.0,0,1,2.0,2,1.0,0,1,1,0
178,0,12.0,2,3,1963.0,1,3,4.0,0,0,2.0,2,31.0,0,0,2.0,3,2.0,1,1,1,0
179,1,21.0,4,0,571.0,1,4,4.0,0,0,4.0,3,65.0,0,1,2.0,2,1.0,0,1,1,0
180,0,36.0,3,9,9572.0,1,1,1.0,2,0,1.0,2,28.0,0,1,2.0,2,1.0,0,1,0,0
181,2,36.0,3,9,4455.0,1,2,2.0,2,0,2.0,3,30.0,1,1,2.0,3,1.0,1,1,0,0
182,1,21.0,1,0,1647.0,0,2,4.0,0,0,2.0,1,40.0,0,1,2.0,1,2.0,0,1,0,0
183,0,24.0,4,2,3777.0,4,2,4.0,0,0,4.0,3,50.0,0,1,1.0,2,1.0,1,1,1,0
184,2,18.0,4,0,884.0,1,4,4.0,0,0,4.0,2,36.0,2,1,1.0,2,2.0,1,1,0,0
185,0,15.0,4,3,1360.0,1,2,4.0,0,0,2.0,1,31.0,0,1,2.0,2,1.0,0,1,1,0
186,2,9.0,1,1,5129.0,1,4,2.0,4,0,4.0,0,74.0,2,2,1.0,3,2.0,1,1,0,1
187,2,16.0,4,0,1175.0,1,0,2.0,0,0,3.0,2,68.0,0,2,3.0,0,1.0,1,1,1,0
188,1,12.0,2,3,674.0,2,3,4.0,1,0,1.0,1,20.0,0,1,1.0,2,1.0,0,1,0,0
189,2,18.0,0,2,3244.0,1,2,1.0,4,0,4.0,2,33.0,2,1,2.0,2,1.0,1,1,1,1
190,0,24.0,2,9,4591.0,4,2,2.0,0,0,3.0,1,54.0,0,1,3.0,3,1.0,1,1,0,0
191,2,48.0,0,9,3844.0,2,3,4.0,0,0,4.0,0,34.0,0,2,1.0,1,2.0,0,1,0,0
192,2,27.0,2,9,3915.0,1,2,4.0,0,0,2.0,2,36.0,0,1,1.0,2,2.0,1,1,0,0
193,0,6.0,2,3,2108.0,1,3,2.0,1,0,2.0,3,29.0,0,0,1.0,2,1.0,0,1,1,0
194,2,45.0,2,3,3031.0,2,2,4.0,0,2,4.0,1,21.0,0,0,1.0,2,1.0,0,1,0,0
195,2,9.0,4,6,1501.0,1,4,2.0,4,0,3.0,2,34.0,0,1,2.0,3,1.0,1,1,0,1
196,0,6.0,4,3,1382.0,1,2,1.0,4,0,1.0,2,28.0,0,1,2.0,2,1.0,1,1,1,1
197,2,12.0,2,2,951.0,2,1,4.0,4,0,4.0,2,27.0,2,0,4.0,2,1.0,0,1,0,1
198,2,24.0,2,1,2760.0,0,4,4.0,0,0,4.0,0,36.0,2,2,1.0,2,1.0,1,1,1,0
199,2,18.0,3,2,4297.0,1,4,4.0,2,0,3.0,0,40.0,0,1,1.0,3,1.0,1,1,0,0
200,0,9.0,4,6,936.0,3,4,4.0,0,0,2.0,2,52.0,0,1,2.0,2,1.0,1,1,1,0
201,1,12.0,2,0,1168.0,1,2,4.0,1,0,3.0,3,27.0,0,1,1.0,1,1.0,0,1,1,0
202,0,27.0,3,9,5117.0,1,3,3.0,0,0,4.0,2,26.0,0,1,2.0,2,1.0,0,1,1,0
203,1,12.0,2,8,902.0,1,3,4.0,1,0,4.0,1,21.0,0,0,1.0,2,1.0,0,1,0,0
204,0,12.0,4,0,1495.0,1,4,4.0,0,0,1.0,3,38.0,0,1,2.0,1,2.0,0,1,1,0
205,1,30.0,4,1,10623.0,1,4,3.0,0,0,4.0,0,38.0,0,2,3.0,3,2.0,1,1,1,0
206,0,12.0,4,2,1935.0,1,4,4.0,0,0,4.0,3,43.0,0,1,3.0,2,1.0,1,1,1,0
207,2,12.0,4,4,1424.0,1,3,4.0,0,0,3.0,1,26.0,0,1,1.0,2,1.0,0,1,1,0
208,1,24.0,2,9,6568.0,1,2,2.0,1,0,2.0,2,21.0,1,1,1.0,1,1.0,0,1,1,0
209,0,12.0,2,1,1413.0,4,3,3.0,0,0,2.0,1,55.0,0,1,1.0,2,1.0,0,0,1,0
210,0,9.0,4,3,3074.0,0,2,1.0,0,0,2.0,3,33.0,0,1,2.0,2,2.0,0,1,1,0
211,0,36.0,2,3,3835.0,0,4,2.0,4,0,4.0,3,45.0,0,1,1.0,1,1.0,1,1,1,1
212,1,27.0,0,9,5293.0,1,0,2.0,0,0,4.0,1,50.0,1,1,2.0,2,1.0,1,1,0,0
213,3,30.0,3,9,1908.0,1,4,4.0,0,0,4.0,3,66.0,0,1,1.0,3,1.0,1,1,0,0
214,0,36.0,4,3,3342.0,0,4,4.0,0,0,2.0,2,51.0,0,1,1.0,2,1.0,1,1,1,0
215,2,6.0,4,8,932.0,0,3,1.0,4,0,3.0,1,39.0,0,1,2.0,1,1.0,0,1,1,1
216,1,18.0,0,9,3104.0,1,3,3.0,0,0,1.0,1,31.0,2,1,1.0,2,1.0,1,1,1,0
217,3,36.0,2,3,3913.0,1,2,2.0,0,0,2.0,3,23.0,0,1,1.0,2,1.0,1,1,1,0
218,1,24.0,2,2,3021.0,1,2,2.0,2,0,2.0,3,24.0,0,0,1.0,1,1.0,0,1,1,0
219,0,10.0,2,0,1364.0,1,2,2.0,4,0,4.0,2,64.0,0,1,1.0,2,1.0,1,1,1,1
220,2,12.0,2,3,625.0,1,1,4.0,1,2,1.0,3,26.0,2,1,1.0,1,1.0,0,1,1,0
221,1,12.0,2,6,1200.0,0,2,4.0,4,0,4.0,1,23.0,2,0,1.0,2,1.0,1,1,1,1
222,0,12.0,2,3,707.0,1,2,4.0,0,0,2.0,3,30.0,2,1,2.0,2,1.0,0,1,1,0
223,0,24.0,3,9,2978.0,0,2,4.0,0,0,4.0,3,32.0,0,1,2.0,2,2.0,1,1,1,0
224,0,15.0,2,1,4657.0,1,2,3.0,0,0,2.0,2,30.0,0,1,1.0,2,1.0,1,1,1,0
225,0,36.0,0,5,2613.0,1,2,4.0,0,0,2.0,2,27.0,0,1,2.0,2,1.0,0,1,1,0
